epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.062,1.885,5.44578,1.09611,0.0079,1,0.39713,0.22166,1.57158,3.14722,0.91129,0.000235966,0.000235966,0.000235966
2,33.0669,1.47558,3.23115,0.95567,0.2497,0.49396,0.44997,0.25861,1.55693,1.89332,0.91498,0.00047162,0.00047162,0.00047162
3,47.5977,1.4227,2.54312,0.95806,0.44856,0.79066,0.57035,0.26864,1.60168,1.57974,0.95706,0.000704917,0.000704917,0.000704917
4,62.3963,1.37917,2.05537,0.94665,0.3984,0.77778,0.62284,0.31394,1.60418,1.58734,0.92876,0.000703397,0.000703397,0.000703397
5,77.0418,1.34164,1.73128,0.93872,0.4485,0.91667,0.56253,0.30076,1.52286,1.27294,0.91937,0.000699863,0.000699863,0.000699863
6,91.7632,1.33917,1.47288,0.94421,0.58835,0.82635,0.79542,0.45867,1.55609,1.36836,0.91394,0.000696328,0.000696328,0.000696328
7,106.465,1.32294,1.27839,0.94,0.72043,0.9531,0.93139,0.52614,1.51477,1.13024,0.90747,0.000692794,0.000692794,0.000692794
8,121.182,1.29905,1.13968,0.93282,0.74222,0.93575,0.8955,0.47018,1.5702,0.94662,0.92697,0.00068926,0.00068926,0.00068926
9,135.789,1.27315,1.01806,0.93078,0.82011,0.90278,0.95,0.55421,1.47452,0.78028,0.892,0.000685726,0.000685726,0.000685726
10,150.472,1.27187,0.95932,0.92275,0.82813,1,0.995,0.55662,1.55083,0.73494,0.91652,0.000682191,0.000682191,0.000682191
11,165.436,1.26782,0.90995,0.9248,0.94747,0.98597,0.995,0.61163,1.45228,0.68585,0.89255,0.000678657,0.000678657,0.000678657
12,179.648,1.23683,0.85652,0.91999,0.96283,1,0.995,0.58781,1.43534,0.66143,0.89028,0.000675123,0.000675123,0.000675123
13,194.417,1.26889,0.83575,0.9274,0.96386,0.96113,0.995,0.59982,1.49677,0.71091,0.90605,0.000671588,0.000671588,0.000671588
14,209.207,1.25993,0.80267,0.92954,0.95256,0.99888,0.995,0.60289,1.45755,0.7093,0.89916,0.000668054,0.000668054,0.000668054
15,223.979,1.23614,0.77599,0.91966,0.97482,1,0.995,0.58485,1.42104,0.61809,0.88039,0.00066452,0.00066452,0.00066452
