epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.3163,1.79429,7.03458,1.12557,0.54944,0.69162,0.56378,0.28625,1.6208,1.60827,0.94212,0.000235966,0.000235966,0.000235966
2,36.1952,1.37053,1.49583,0.96162,0.64442,0.78947,0.84445,0.41942,1.66257,0.99663,0.95515,0.00047162,0.00047162,0.00047162
3,53.1687,1.34505,1.05293,0.95741,0.91602,0.69652,0.83376,0.4524,1.53109,1.30577,0.93841,0.000704917,0.000704917,0.000704917
4,70.1591,1.32116,0.87072,0.94786,0.96004,0.81191,0.995,0.56471,1.52612,1.01965,0.92445,0.000703397,0.000703397,0.000703397
5,86.8602,1.30513,0.82174,0.94382,0.95391,0.99696,0.995,0.59593,1.51667,0.74389,0.93027,0.000699863,0.000699863,0.000699863
6,103.603,1.29859,0.75341,0.94686,0.91478,0.85378,0.94683,0.55316,1.60366,0.92117,0.94138,0.000696328,0.000696328,0.000696328
7,120.218,1.29647,0.70265,0.94508,0.91804,0.99401,0.995,0.56424,1.42373,0.6273,0.90547,0.000692794,0.000692794,0.000692794
8,136.853,1.27405,0.68592,0.93463,0.93718,0.99731,0.995,0.61911,1.4251,0.71589,0.89784,0.00068926,0.00068926,0.00068926
9,153.507,1.23746,0.65286,0.92991,0.95179,1,0.995,0.60395,1.48386,0.62567,0.89289,0.000685726,0.000685726,0.000685726
10,170.167,1.25632,0.63342,0.92337,0.90467,0.96281,0.995,0.58447,1.42555,0.6552,0.90072,0.000682191,0.000682191,0.000682191
11,186.941,1.24067,0.63815,0.92336,0.91251,0.98958,0.995,0.60192,1.43878,0.65522,0.9007,0.000678657,0.000678657,0.000678657
12,203.579,1.2185,0.61261,0.92015,0.95913,1,0.995,0.61424,1.43971,0.60916,0.89272,0.000675123,0.000675123,0.000675123
13,220.298,1.24513,0.61518,0.92403,0.96247,1,0.995,0.61866,1.4114,0.59811,0.89628,0.000671588,0.000671588,0.000671588
14,237.029,1.22781,0.60189,0.92477,0.96434,1,0.995,0.5983,1.44408,0.60147,0.89373,0.000668054,0.000668054,0.000668054
15,253.786,1.20995,0.59724,0.91691,0.94776,0.99533,0.995,0.60428,1.42866,0.6449,0.89549,0.00066452,0.00066452,0.00066452
16,270.521,1.21713,0.59198,0.9221,0.96543,0.98298,0.995,0.61079,1.41499,0.58867,0.88525,0.000660986,0.000660986,0.000660986
17,287.336,1.21686,0.5828,0.9201,0.95847,1,0.995,0.60545,1.44497,0.5989,0.89904,0.000657451,0.000657451,0.000657451
18,304.057,1.21202,0.58738,0.91186,0.96317,1,0.995,0.61819,1.41341,0.55504,0.88151,0.000653917,0.000653917,0.000653917
19,320.878,1.20562,0.56996,0.92059,0.91013,1,0.995,0.5779,1.47166,0.62915,0.89861,0.000650383,0.000650383,0.000650383
20,337.628,1.20418,0.56269,0.91386,0.96797,1,0.995,0.63226,1.38685,0.56278,0.87983,0.000646848,0.000646848,0.000646848
21,354.46,1.20308,0.5693,0.91317,0.95551,0.99786,0.995,0.57906,1.52119,0.58808,0.90169,0.000643314,0.000643314,0.000643314
22,371.22,1.20111,0.5654,0.91611,0.94568,1,0.995,0.53468,1.64602,0.63413,0.95468,0.00063978,0.00063978,0.00063978
23,388.167,1.19987,0.555,0.91337,0.9632,0.9963,0.995,0.60376,1.41565,0.54421,0.87926,0.000636245,0.000636245,0.000636245
